goal,horizon,global_cancellation_ratio,mean_norm,norm_of_mean,source_sessions,effective_rank
lift_blue_block_slider,1,0.2744883335547365,8.471240997314453,2.325256824493408,15,10.354482650756836
lift_blue_block_slider,2,0.40005994572504483,8.467545509338379,3.387525796890259,15,9.490876197814941
lift_blue_block_slider,4,0.5116962109377948,8.214325904846191,4.203239440917969,15,10.24731159210205
lift_red_block_table,1,0.26136065569105044,8.042448043823242,2.1019794940948486,16,10.687597274780273
lift_red_block_table,2,0.35920970218258397,8.573824882507324,3.079801082611084,16,11.062067985534668
lift_red_block_table,4,0.38116272400883744,8.204415321350098,3.1272172927856445,16,10.62920093536377
place_in_slider,1,0.5213854293584158,7.040581703186035,3.6708567142486572,19,8.205960273742676
place_in_slider,2,0.5098553933558951,8.501490592956543,4.334530830383301,19,7.8715620040893555
place_in_slider,4,0.5313973442908545,8.791570663452148,4.671817302703857,19,8.98160457611084
push_pink_block_right,1,0.350998206169582,8.525931358337402,2.992586612701416,17,6.864897727966309
push_pink_block_right,2,0.5294294371953535,9.108768463134766,4.822450160980225,17,6.9608845710754395
push_pink_block_right,4,0.35723507100743385,7.779757499694824,2.7792022228240967,17,8.961103439331055
turn_off_lightbulb,1,0.30492165617874667,7.626739978790283,2.3255581855773926,18,11.273859977722168
turn_off_lightbulb,2,0.563324689745825,8.11426830291748,4.570967674255371,18,12.309322357177734
turn_off_lightbulb,4,0.587033442216818,7.598874568939209,4.460793495178223,18,11.783170700073242
turn_on_lightbulb,1,0.3028818756885378,8.119983673095703,2.4593958854675293,17,9.327211380004883
turn_on_lightbulb,2,0.38821567775563803,9.041481971740723,3.510045051574707,17,8.495546340942383
turn_on_lightbulb,4,0.38448337451826853,7.3190016746521,2.8140344619750977,17,9.982763290405273
