family,K,mean_neighbor_distance,mean_unique_source_sessions,dev_transitions
R0_goal_mean,4,1.0,20.689655303955078,87
R0_goal_mean,8,1.0,20.689655303955078,87
R0_goal_mean,16,1.0,20.689655303955078,87
R0_goal_mean,32,1.0,20.689655303955078,87
R1_state,4,0.9707227945327759,3.7701148986816406,87
R1_state,8,1.1041280031204224,6.94252872467041,87
R1_state,16,1.3008995056152344,12.034482955932617,87
R1_state,32,1.6043304204940796,18.11494255065918,87
R2_goal_phase,4,0.709838330745697,3.632183790206909,87
R2_goal_phase,8,1.240930438041687,6.425287246704102,87
R2_goal_phase,16,2.2955081462860107,11.632184028625488,87
R2_goal_phase,32,4.464162826538086,18.09195327758789,87
R3_endpoint,4,1.0445023775100708,3.7931034564971924,87
R3_endpoint,8,1.2803744077682495,6.781609058380127,87
R3_endpoint,16,1.6904174089431763,11.850574493408203,87
R3_endpoint,32,2.367497682571411,18.160919189453125,87
R4_factored,4,1.0281823873519897,3.7356321811676025,87
R4_factored,8,1.2651630640029907,6.747126579284668,87
R4_factored,16,1.6828676462173462,11.735631942749023,87
R4_factored,32,2.3816983699798584,18.21839141845703,87
R5_learned_scorer,4,1.4297599792480469,3.689655065536499,87
R5_learned_scorer,8,1.7012519836425781,6.839080333709717,87
R5_learned_scorer,16,2.1958906650543213,11.94252872467041,87
R5_learned_scorer,32,3.1722412109375,18.183908462524414,87
R6_hybrid,4,0.6057166457176208,3.747126340866089,87
R6_hybrid,8,0.9813894629478455,6.793103218078613,87
R6_hybrid,16,1.5710002183914185,11.88505744934082,87
R6_hybrid,32,2.5365285873413086,18.068965911865234,87
