name,q,alpha,cap,H4_decoded_mse,H4_continuity,H4_true_continuity,RedirectGain,Execution_RedirectGain,H4_endpoint_accuracy,adapter_norm
q2_a0.1_c0.05,2,0.1,0.05,1.3523478507995605,2.6422176361083984,0.950014591217041,0.004868161398917437,-0.0005823857500217855,0.13274336283185842,0.04651752486824989
q2_a0.1_c0.1,2,0.1,0.1,1.3523883819580078,2.6413979530334473,0.950014591217041,0.009401928633451462,-0.0012117060832679272,0.13716814159292035,0.08290465176105499
q2_a0.1_c0.2,2,0.1,0.2,1.3526935577392578,2.6411948204040527,0.950014591217041,0.01653846725821495,-0.0023768011014908552,0.1415929203539823,0.1229826807975769
q2_a0.1_c0.5,2,0.1,0.5,1.3528766632080078,2.6411948204040527,0.950014591217041,0.020280661061406136,-0.0029453053139150143,0.1415929203539823,0.13520628213882446
q2_a0.1_cnone,2,0.1,,1.3528766632080078,2.6411948204040527,0.950014591217041,0.020280661061406136,-0.0029453053139150143,0.1415929203539823,0.13520628213882446
q2_a0.25_c0.05,2,0.25,0.05,1.3523352146148682,2.64217472076416,0.950014591217041,0.004868161398917437,-0.0005823857500217855,0.13274336283185842,0.0491439588367939
q2_a0.25_c0.1,2,0.25,0.1,1.3522194623947144,2.640734910964966,0.950014591217041,0.00958008598536253,-0.0011949761537835002,0.13716814159292035,0.094831682741642
q2_a0.25_c0.2,2,0.25,0.2,1.3523122072219849,2.638733148574829,0.950014591217041,0.01844318024814129,-0.0025126300752162933,0.1415929203539823,0.1744999885559082
q2_a0.25_c0.5,2,0.25,0.5,1.3536272048950195,2.6376774311065674,0.950014591217041,0.03748994320631027,-0.006687423214316368,0.16371681415929204,0.3074566721916199
q2_a0.25_cnone,2,0.25,,1.354285478591919,2.6376774311065674,0.950014591217041,0.04497915506362915,-0.008511709980666637,0.1592920353982301,0.33801570534706116
q2_a0.5_c0.05,2,0.5,0.05,1.35233473777771,2.642207145690918,0.950014591217041,0.004868161398917437,-0.0005823857500217855,0.13274336283185842,0.04983991011977196
q2_a0.5_c0.1,2,0.5,0.1,1.3522274494171143,2.640735149383545,0.950014591217041,0.00958008598536253,-0.0011949761537835002,0.13716814159292035,0.0982879176735878
q2_a0.5_c0.2,2,0.5,0.2,1.3521164655685425,2.637948751449585,0.950014591217041,0.018535183742642403,-0.0025108016561716795,0.1415929203539823,0.189663365483284
q2_a0.5_c0.5,2,0.5,0.5,1.3533241748809814,2.633162498474121,0.950014591217041,0.04087207838892937,-0.007238794583827257,0.16371681415929204,0.41452324390411377
q2_a0.5_cnone,2,0.5,,1.3588534593582153,2.6322426795959473,0.950014591217041,0.07088340818881989,-0.020851530134677887,0.1415929203539823,0.6760314106941223
q2_a0.75_c0.05,2,0.75,0.05,1.3523365259170532,2.6422178745269775,0.950014591217041,0.004868161398917437,-0.0005823857500217855,0.13274336283185842,0.049909722059965134
q2_a0.75_c0.1,2,0.75,0.1,1.3522255420684814,2.6407668590545654,0.950014591217041,0.009580083191394806,-0.0011949759209528565,0.13716814159292035,0.09936829656362534
q2_a0.75_c0.2,2,0.75,0.2,1.3521310091018677,2.6379599571228027,0.950014591217041,0.018535183742642403,-0.002510801190510392,0.1415929203539823,0.19446657598018646
q2_a0.75_c0.5,2,0.75,0.5,1.3530476093292236,2.6315081119537354,0.950014591217041,0.04154694080352783,-0.007182236295193434,0.16371681415929204,0.44951915740966797
q2_a0.75_cnone,2,0.75,,1.3662163019180298,2.627323627471924,0.950014591217041,0.0777127668261528,-0.037019435316324234,0.11504424778761062,1.0140471458435059
q2_a1.0_c0.05,2,1.0,0.05,1.35233736038208,2.6422176361083984,0.950014591217041,0.004868161398917437,-0.0005823857500217855,0.13274336283185842,0.04994896054267883
q2_a1.0_c0.1,2,1.0,0.1,1.3522289991378784,2.6408023834228516,0.950014591217041,0.00958008598536253,-0.0011949761537835002,0.13716814159292035,0.09967982023954391
q2_a1.0_c0.2,2,1.0,0.2,1.3521497249603271,2.6379616260528564,0.950014591217041,0.018535183742642403,-0.0025108016561716795,0.1415929203539823,0.1965758353471756
q2_a1.0_c0.5,2,1.0,0.5,1.3528811931610107,2.6306750774383545,0.950014591217041,0.041650477796792984,-0.007183177396655083,0.16371681415929204,0.46517518162727356
q2_a1.0_cnone,2,1.0,,1.3763765096664429,2.6229021549224854,0.950014591217041,0.06546717882156372,-0.05701545998454094,0.10619469026548672,1.3520628213882446
q4_a0.1_c0.05,4,0.1,0.05,1.35032320022583,2.640394926071167,0.950014591217041,0.006018086802214384,0.0017338029574602842,0.13274336283185842,0.04966441169381142
q4_a0.1_c0.1,4,0.1,0.1,1.3484803438186646,2.638313055038452,0.950014591217041,0.011879927478730679,0.003400878980755806,0.13274336283185842,0.09333325177431107
q4_a0.1_c0.2,4,0.1,0.2,1.3465125560760498,2.636993169784546,0.950014591217041,0.022696511819958687,0.006502462550997734,0.1415929203539823,0.15117022395133972
q4_a0.1_c0.5,4,0.1,0.5,1.3458040952682495,2.636993169784546,0.950014591217041,0.03433544188737869,0.009899736382067204,0.1415929203539823,0.18487071990966797
q4_a0.1_cnone,4,0.1,,1.3458040952682495,2.636993169784546,0.950014591217041,0.03433544188737869,0.009899736382067204,0.1415929203539823,0.18487071990966797
q4_a0.25_c0.05,4,0.25,0.05,1.350319504737854,2.6403446197509766,0.950014591217041,0.0060180858708918095,0.0017338021425530314,0.13274336283185842,0.05000000074505806
q4_a0.25_c0.1,4,0.25,0.1,1.348217487335205,2.6371870040893555,0.950014591217041,0.011879927478730679,0.0034008794464170933,0.13274336283185842,0.09984821826219559
q4_a0.25_c0.2,4,0.25,0.2,1.3443541526794434,2.632283926010132,0.950014591217041,0.023134883493185043,0.00653479341417551,0.1415929203539823,0.1929381638765335
q4_a0.25_c0.5,4,0.25,0.5,1.3386441469192505,2.6280295848846436,0.950014591217041,0.05221385136246681,0.014297041110694408,0.14601769911504425,0.3779255449771881
q4_a0.25_cnone,4,0.25,,1.3375662565231323,2.6280295848846436,0.950014591217041,0.07617732882499695,0.020354798063635826,0.13716814159292035,0.46217674016952515
q4_a0.5_c0.05,4,0.5,0.05,1.350319504737854,2.6403446197509766,0.950014591217041,0.0060180858708918095,0.0017338021425530314,0.13274336283185842,0.05000000074505806
q4_a0.5_c0.1,4,0.5,0.1,1.348214030265808,2.6371665000915527,0.950014591217041,0.011879927478730679,0.0034008794464170933,0.13274336283185842,0.10000000149011612
q4_a0.5_c0.2,4,0.5,0.2,1.3442007303237915,2.631229877471924,0.950014591217041,0.023134883493185043,0.00653479341417551,0.1415929203539823,0.19969643652439117
q4_a0.5_c0.5,4,0.5,0.5,1.3346260786056519,2.6206905841827393,0.950014591217041,0.05314970389008522,0.014334780164062977,0.14601769911504425,0.46666625142097473
q4_a0.5_cnone,4,0.5,,1.3287594318389893,2.6158788204193115,0.950014591217041,0.12015045434236526,0.026061156764626503,0.11946902654867257,0.9243534803390503
q4_a0.75_c0.05,4,0.75,0.05,1.350319504737854,2.6403446197509766,0.950014591217041,0.006018086802214384,0.0017338029574602842,0.13274336283185842,0.05000000819563866
q4_a0.75_c0.1,4,0.75,0.1,1.348214030265808,2.6371665000915527,0.950014591217041,0.011879926547408104,0.0034008794464170933,0.13274336283185842,0.10000001639127731
q4_a0.75_c0.2,4,0.75,0.2,1.3441956043243408,2.631193161010742,0.950014591217041,0.023134881630539894,0.006534794811159372,0.1415929203539823,0.20000003278255463
q4_a0.75_c0.5,4,0.75,0.5,1.3337258100509644,2.6176581382751465,0.950014591217041,0.05314970761537552,0.014334780164062977,0.14601769911504425,0.48989570140838623
q4_a0.75_cnone,4,0.75,,1.3263397216796875,2.6072821617126465,0.950014591217041,0.13191933929920197,0.01711905375123024,0.10619469026548672,1.3865302801132202
q4_a1.0_c0.05,4,1.0,0.05,1.350319504737854,2.6403446197509766,0.950014591217041,0.0060180858708918095,0.0017338021425530314,0.13274336283185842,0.05000000074505806
q4_a1.0_c0.1,4,1.0,0.1,1.348214030265808,2.6371665000915527,0.950014591217041,0.011879927478730679,0.0034008794464170933,0.13274336283185842,0.10000000149011612
q4_a1.0_c0.2,4,1.0,0.2,1.3441956043243408,2.631193161010742,0.950014591217041,0.023134883493185043,0.00653479341417551,0.1415929203539823,0.20000000298023224
q4_a1.0_c0.5,4,1.0,0.5,1.3336786031723022,2.616669178009033,0.950014591217041,0.05314970389008522,0.014334780164062977,0.14601769911504425,0.4966440498828888
q4_a1.0_cnone,4,1.0,,1.3304919004440308,2.6022636890411377,0.950014591217041,0.11148396879434586,-0.006471498403698206,0.13716814159292035,1.8487069606781006
q8_a0.1_c0.05,8,0.1,0.05,1.3502943515777588,2.6404263973236084,0.950014591217041,0.006138197612017393,0.002535019302740693,0.13274336283185842,0.04996071383357048
q8_a0.1_c0.1,8,0.1,0.1,1.3481931686401367,2.6372759342193604,0.950014591217041,0.012120181694626808,0.004989827983081341,0.13274336283185842,0.09736941754817963
q8_a0.1_c0.2,8,0.1,0.2,1.3454053401947021,2.6344659328460693,0.950014591217041,0.023374134674668312,0.009572467766702175,0.13274336283185842,0.1644521802663803
q8_a0.1_c0.5,8,0.1,0.5,1.3441656827926636,2.6343038082122803,0.950014591217041,0.03502761572599411,0.013981817290186882,0.13716814159292035,0.20277553796768188
q8_a0.1_cnone,8,0.1,,1.3441650867462158,2.6343038082122803,0.950014591217041,0.03503822162747383,0.013982192613184452,0.13716814159292035,0.20279653370380402
q8_a0.25_c0.05,8,0.25,0.05,1.3502918481826782,2.6404240131378174,0.950014591217041,0.006138197146356106,0.0025350197684019804,0.13274336283185842,0.05000000074505806
q8_a0.25_c0.1,8,0.25,0.1,1.3481642007827759,2.637324333190918,0.950014591217041,0.012120182625949383,0.004989827983081341,0.13274336283185842,0.09998306632041931
q8_a0.25_c0.2,8,0.25,0.2,1.3441171646118164,2.6313228607177734,0.950014591217041,0.02361534722149372,0.009658741764724255,0.13274336283185842,0.1978406459093094
q8_a0.25_c0.5,8,0.25,0.5,1.3361479043960571,2.622307538986206,0.950014591217041,0.053813062608242035,0.021549567580223083,0.1504424778761062,0.41113045811653137
