structure,H2_full_MSE,H4_decoded_MSE,endpoint_macro,continuity
static_core_retrieval,1.6893470287322998,0.06833934783935547,0.40752313696870823,0.291071151693662
horizon_core_retrieval,1.3060224056243896,0.060021985322237015,0.5685298741192363,0.29337671399116516
D2_weighted_local,1.2081164121627808,0.05414802208542824,0.47871089377738013,0.2675679971774419
language_prototype,0.6779637932777405,0.04999558627605438,0.8333333333333334,0.26612499356269836
Wave21_B1,0.6943433880805969,0.041534315794706345,0.5222481802040062,0.1855181356271108
