predictor,horizon,full_cosine,execution_cosine,norm_ratio
D2,1,0.563722550868988,0.6025782227516174,0.5653356909751892
D2,2,0.6688249707221985,0.6760135293006897,0.6590684056282043
D2,4,0.6843454837799072,0.6971619129180908,0.5849713683128357
