model,H2_full,H4_decoded,endpoint,continuity
Flow_S0_History-CFM,0.8883987665176392,0.055926695466041565,0.2744431825905795,0.2142951488494873
Flow_S0_Phase-CFM,0.8883987665176392,0.055926695466041565,0.2744431825905795,0.2142951488494873
Flow_S0_Prior-CFM,0.881065845489502,0.05234074965119362,0.27139364279323713,0.20495983958244324
Flow_S0_R-CFM,0.9942938685417175,0.04960661381483078,0.5013850634878357,0.19069762527942657
Flow_S1_History-CFM,0.9691706299781799,0.05609501525759697,0.24494323446318036,0.2069268822669983
Flow_S1_Phase-CFM,0.9691706299781799,0.05609501525759697,0.24494323446318036,0.2069268822669983
Flow_S1_Prior-CFM,0.9573673605918884,0.05384635925292969,0.22211797292933197,0.20477455854415894
Flow_S1_R-CFM,1.0421301126480103,0.05070335045456886,0.4964043831859924,0.20359228551387787
Flow_S4_R-CFM,1.1081569194793701,0.05495558679103851,0.4967948261389776,0.19874893128871918
State_S0_RAT-C,0.9274237155914307,0.047060396522283554,0.4110814835628899,0.2114189714193344
