model,H2_full,H4_decoded,endpoint,continuity
CausalSelect_Flow_S0_Prior-CFM,1.107751488685608,0.06228062883019447,0.25492999475420025,0.2085392326116562
Flow_S0_Hetero-CFM,1.0374529361724854,0.05981433764100075,0.1769010007346721,0.22584785521030426
Flow_S0_History-CFM,0.8883987665176392,0.055926695466041565,0.2744431825905795,0.2142951488494873
Flow_S0_MP-CFM,1.1344523429870605,0.06555136293172836,0.20243502021730553,0.21467146277427673
Flow_S0_Phase-CFM,0.8883987665176392,0.055926695466041565,0.2744431825905795,0.2142951488494873
Flow_S0_Phase-CFM_16step,0.8832302093505859,0.053708482533693314,0.30774196129165704,0.2205677181482315
Flow_S0_Prior-CFM,0.881065845489502,0.05234074965119362,0.27139364279323713,0.20495983958244324
Flow_S0_Prior-CFM_16step,0.8794547319412231,0.05210592597723007,0.29772028862630623,0.2163241058588028
Flow_S0_R-CFM,0.9942938685417175,0.04960661381483078,0.5013850634878357,0.19069762527942657
Flow_S0_R-CFM_16step,1.0141232013702393,0.04963558539748192,0.47714982660892064,0.18914732336997986
Flow_S0_Streaming-CFM,1.6714863777160645,0.14995215833187103,0.22022028130885465,0.36446017026901245
Flow_S0_TC-CFM,1.1627674102783203,0.05920656397938728,0.16373371826380614,0.20552796125411987
Flow_S1_Hetero-CFM,1.1632835865020752,0.06465966999530792,0.22001464465967505,0.22767099738121033
Flow_S1_History-CFM,0.9691706299781799,0.05609501525759697,0.24494323446318036,0.2069268822669983
Flow_S1_MP-CFM,1.2000380754470825,0.06865152716636658,0.2471944890808988,0.25744467973709106
Flow_S1_Phase-CFM,0.9691706299781799,0.05609501525759697,0.24494323446318036,0.2069268822669983
Flow_S1_Phase-CFM_16step,0.9758316278457642,0.05539925396442413,0.2477066131224346,0.2148616462945938
Flow_S1_Prior-CFM,0.9573673605918884,0.05384635925292969,0.22211797292933197,0.20477455854415894
Flow_S1_Prior-CFM_16step,0.9617125391960144,0.05408940836787224,0.2257261920209858,0.21534666419029236
Flow_S1_R-CFM,1.0421301126480103,0.05070335045456886,0.4964043831859924,0.20359228551387787
Flow_S1_R-CFM_16step,1.0529857873916626,0.050674766302108765,0.46196391943518383,0.20374414324760437
Flow_S1_Streaming-CFM,1.9159681797027588,0.1668771207332611,0.21548159725982577,0.39433255791664124
Flow_S1_TC-CFM,1.171827793121338,0.061204299330711365,0.21120788034243074,0.20580802857875824
Flow_S4_Hetero-CFM,1.2785884141921997,0.0650026872754097,0.21725245305367005,0.2157500833272934
Flow_S4_History-CFM,1.018450379371643,0.060831427574157715,0.2095729502761281,0.2061060070991516
Flow_S4_MP-CFM,1.322887659072876,0.06866957247257233,0.13765641865709477,0.24424318969249725
Flow_S4_Phase-CFM,1.018450379371643,0.060831427574157715,0.2095729502761281,0.2061060070991516
Flow_S4_Phase-CFM_16step,1.0006415843963623,0.05799177661538124,0.2364054759254218,0.22076253592967987
Flow_S4_Prior-CFM,1.0294541120529175,0.05959971249103546,0.2586581062240291,0.2011316418647766
Flow_S4_Prior-CFM_16step,1.0190812349319458,0.058555033057928085,0.31879154076584776,0.2070401906967163
Flow_S4_R-CFM,1.1081569194793701,0.05495558679103851,0.4967948261389776,0.19874893128871918
Flow_S4_R-CFM_16step,1.1145353317260742,0.054770875722169876,0.5293956825735054,0.19977162778377533
Flow_S4_Streaming-CFM,2.2285706996917725,0.20005139708518982,0.19599270336254784,0.4563247263431549
Flow_S4_TC-CFM,1.2257871627807617,0.06535516679286957,0.17645559559014598,0.21616247296333313
