condition,model,transitions,sessions,H2_full,H4_decoded,endpoint,continuity
D0,Phase-CFM,69,5,1.1823651790618896,0.0632735937833786,0.23263926492459283,0.2237967848777771
D0,Prior-CFM,69,5,1.157469391822815,0.06581883132457733,0.25349663608622364,0.2109924852848053
D0,F2-C,69,5,1.6087826490402222,0.06775716692209244,0.15602143330338056,0.21681083738803864
D1,Phase-CFM,137,10,0.9727789759635925,0.059596966952085495,0.20644539018440303,0.22868014872074127
D1,Prior-CFM,137,10,0.9584751129150391,0.05540130287408829,0.22065140929238292,0.2141256481409073
D1,F2-C,137,10,1.3114838600158691,0.06489764899015427,0.18009693834575513,0.22849182784557343
D2,Phase-CFM,257,19,0.8650368452072144,0.055946286767721176,0.2547775641081929,0.22278553247451782
D2,Prior-CFM,257,19,0.8567660450935364,0.05322396755218506,0.23107991600216074,0.2084975242614746
D2,F2-C,257,19,0.9889148473739624,0.05695617198944092,0.22022912729471214,0.2121140956878662
