model,H2_full,H4_decoded,endpoint,continuity
State_S0_F2-C,0.9889148473739624,0.05695617198944092,0.22022912729471214,0.2121140956878662
State_S0_Phase-CFM,0.904920756816864,0.05624163895845413,0.31527091969958776,0.219234436750412
State_S0_RAT-C,0.9274237155914307,0.047060396522283554,0.4110814835628899,0.2114189714193344
State_S1_F2-C,1.150573492050171,0.060293786227703094,0.1383253638155599,0.22728131711483002
State_S1_Phase-CFM,0.9798171520233154,0.05661311373114586,0.268119197057669,0.21194735169410706
State_S1_RAT-C,1.0376774072647095,0.04972762614488602,0.3777018226308287,0.213917538523674
State_S2_F2-C,1.2294485569000244,0.06285962462425232,0.12047092841548555,0.22632765769958496
State_S2_Phase-CFM,1.0351423025131226,0.06276857852935791,0.2661326065315247,0.21063043177127838
State_S2_RAT-C,1.1502737998962402,0.05505198612809181,0.35741209057639084,0.20625856518745422
State_S3_F2-C,1.140932321548462,0.06021657586097717,0.15797846132531734,0.20700839161872864
State_S3_Phase-CFM,1.0914019346237183,0.06302256882190704,0.2036571159289212,0.22220481932163239
State_S3_RAT-C,1.1017074584960938,0.05398157984018326,0.28284311286339686,0.22547493875026703
State_S4_F2-C,1.2574037313461304,0.06478744000196457,0.20290260537048907,0.24029456079006195
State_S4_Phase-CFM,1.0350583791732788,0.060667503625154495,0.24885407082837777,0.21456952393054962
State_S4_RAT-C,1.1474828720092773,0.05570868030190468,0.45056703745006654,0.22237099707126617
State_S5_F2-C,1.218968152999878,0.0620855987071991,0.16623693712943208,0.2190215140581131
State_S5_Phase-CFM,1.0502870082855225,0.06177874654531479,0.23496294605151938,0.19048500061035156
State_S5_RAT-C,1.082903265953064,0.05752422288060188,0.30343087658841544,0.22968347370624542
State_S6_F2-C,1.2727515697479248,0.06447155028581619,0.21311596274408984,0.23895364999771118
State_S6_Phase-CFM,1.0798693895339966,0.057955652475357056,0.1476611148348809,0.2112700492143631
State_S6_RAT-C,1.2127028703689575,0.05396158620715141,0.3401628084183865,0.19531050324440002
