state,model,decoded_mse,endpoint_accuracy,decode_reencode_accuracy,continuity,H2_full
S0,Phase-CFM,0.05624163895845413,0.31527091969958776,0.31861741794128545,0.219234436750412,0.904920756816864
S0,F2-C,0.05695617198944092,0.22022912729471214,0.1900807716561604,0.2121140956878662,0.9889148473739624
S0,RAT-C,0.047060396522283554,0.4110814835628899,0.388402066968666,0.2114189714193344,0.9274237155914307
S1,Phase-CFM,0.05661311373114586,0.268119197057669,0.234411096378642,0.21194735169410706,0.9798171520233154
S1,F2-C,0.060293786227703094,0.1383253638155599,0.15978481488961543,0.22728131711483002,1.150573492050171
S1,RAT-C,0.04972762614488602,0.3777018226308287,0.3576185077537342,0.213917538523674,1.0376774072647095
S2,Phase-CFM,0.06276857852935791,0.2661326065315247,0.28570896836616916,0.21063043177127838,1.0351423025131226
S2,F2-C,0.06285962462425232,0.12047092841548555,0.1189010748848477,0.22632765769958496,1.2294485569000244
S2,RAT-C,0.05505198612809181,0.35741209057639084,0.319742923292619,0.20625856518745422,1.1502737998962402
S3,Phase-CFM,0.06302256882190704,0.2036571159289212,0.19039046246618932,0.22220481932163239,1.0914019346237183
S3,F2-C,0.06021657586097717,0.15797846132531734,0.14641134289545377,0.20700839161872864,1.140932321548462
S3,RAT-C,0.05398157984018326,0.28284311286339686,0.2716361593981607,0.22547493875026703,1.1017074584960938
S4,Phase-CFM,0.060667503625154495,0.24885407082837777,0.19885725798504703,0.21456952393054962,1.0350583791732788
S4,F2-C,0.06478744000196457,0.20290260537048907,0.20099344974260458,0.24029456079006195,1.2574037313461304
S4,RAT-C,0.05570868030190468,0.45056703745006654,0.3740092089314537,0.22237099707126617,1.1474828720092773
S5,Phase-CFM,0.06177874654531479,0.23496294605151938,0.19344683188496573,0.19048500061035156,1.0502870082855225
S5,F2-C,0.0620855987071991,0.16623693712943208,0.2045849200007415,0.2190215140581131,1.218968152999878
S5,RAT-C,0.05752422288060188,0.30343087658841544,0.23732833665220412,0.22968347370624542,1.082903265953064
S6,Phase-CFM,0.057955652475357056,0.1476611148348809,0.19445491653064337,0.2112700492143631,1.0798693895339966
S6,F2-C,0.06447155028581619,0.21311596274408984,0.15130317307464028,0.23895364999771118,1.2727515697479248
S6,RAT-C,0.05396158620715141,0.3401628084183865,0.3175297194228905,0.19531050324440002,1.2127028703689575
