model,H2_full,H4_decoded,endpoint,continuity
Scale_D0_S0_F2-C,1.6087826490402222,0.06775716692209244,0.15602143330338056,0.21681083738803864
Scale_D0_S0_Phase-CFM,1.1823651790618896,0.0632735937833786,0.23263926492459283,0.2237967848777771
Scale_D0_S0_Prior-CFM,1.157469391822815,0.06581883132457733,0.25349663608622364,0.2109924852848053
Scale_D1_S0_F2-C,1.3114838600158691,0.06489764899015427,0.18009693834575513,0.22849182784557343
Scale_D1_S0_Phase-CFM,0.9727789759635925,0.059596966952085495,0.20644539018440303,0.22868014872074127
Scale_D1_S0_Prior-CFM,0.9584751129150391,0.05540130287408829,0.22065140929238292,0.2141256481409073
Scale_D2_S0_F2-C,0.9889148473739624,0.05695617198944092,0.22022912729471214,0.2121140956878662
Scale_D2_S0_Phase-CFM,0.8650368452072144,0.055946286767721176,0.2547775641081929,0.22278553247451782
Scale_D2_S0_Prior-CFM,0.8567660450935364,0.05322396755218506,0.23107991600216074,0.2084975242614746
