diagnostic,estimate,lower95,upper95
margin_correctness_Pearson,0.7147608173042919,0.6871680367150831,0.750145761982072
distance_decoded_Pearson,0.49186482887978117,0.4576356298647217,0.5256740946367882
incremental_R2,0.4250438800302536,0.3496748674014151,0.4803095770655148
cycle4_margin_decrease,0.4786349833011627,0.38952159881591797,0.6218735575675964
