goal,model,endpoint_accuracy,decode_reencode_accuracy,goal_core_margin
lift_blue_block_slider,Wave21_B1,0.7482014388489209,0.5755395683453237,0.32777079939842224
lift_blue_block_slider,GA_lambda_0.03,0.7553956834532374,0.5611510791366906,0.3134934604167938
lift_blue_block_slider,GA_lambda_0.1,0.7122302158273381,0.539568345323741,0.277908593416214
lift_blue_block_slider,GA_lambda_0.3,0.6187050359712231,0.38848920863309355,0.16059833765029907
lift_blue_block_slider,Wave22_cycle4,0.5179856115107914,0.5107913669064749,-0.050673484802246094
lift_blue_block_slider,language_prototype,1.0,1.0,0.011786222457885742
lift_blue_block_slider,goal_core_retrieval,0.5323741007194245,0.4892086330935252,0.031205596402287483
lift_red_block_table,Wave21_B1,0.33093525179856115,0.20863309352517986,-0.15690739452838898
lift_red_block_table,GA_lambda_0.03,0.33093525179856115,0.2014388489208633,-0.15584933757781982
lift_red_block_table,GA_lambda_0.1,0.35251798561151076,0.18705035971223022,-0.1543644219636917
lift_red_block_table,GA_lambda_0.3,0.30935251798561153,0.18705035971223022,-0.15368984639644623
lift_red_block_table,Wave22_cycle4,0.17985611510791366,0.17985611510791366,-1.0010979175567627
lift_red_block_table,language_prototype,1.0,1.0,0.23652388155460358
lift_red_block_table,goal_core_retrieval,0.43884892086330934,0.4316546762589928,-0.22709186375141144
place_in_slider,Wave21_B1,0.07194244604316546,0.1366906474820144,-0.7622696161270142
place_in_slider,GA_lambda_0.03,0.06474820143884892,0.1223021582733813,-0.764670193195343
place_in_slider,GA_lambda_0.1,0.050359712230215826,0.15827338129496402,-0.7686869502067566
place_in_slider,GA_lambda_0.3,0.02877697841726619,0.1510791366906475,-0.7515904307365417
place_in_slider,Wave22_cycle4,0.14388489208633093,0.15827338129496402,-1.1257497072219849
place_in_slider,language_prototype,1.0,0.0,0.018711566925048828
place_in_slider,goal_core_retrieval,0.60431654676259,0.5755395683453237,0.3300175964832306
push_pink_block_right,Wave21_B1,0.5539568345323741,0.539568345323741,0.05992789939045906
push_pink_block_right,GA_lambda_0.03,0.5611510791366906,0.539568345323741,0.06847164034843445
push_pink_block_right,GA_lambda_0.1,0.5827338129496403,0.5539568345323741,0.08331791311502457
push_pink_block_right,GA_lambda_0.3,0.6258992805755396,0.5899280575539568,0.17400112748146057
push_pink_block_right,Wave22_cycle4,0.5107913669064749,0.5107913669064749,0.02863110974431038
push_pink_block_right,language_prototype,1.0,1.0,0.42737913131713867
push_pink_block_right,goal_core_retrieval,0.2517985611510791,0.2446043165467626,-0.5427547693252563
turn_off_lightbulb,Wave21_B1,0.6618705035971223,0.6115107913669064,0.26613277196884155
turn_off_lightbulb,GA_lambda_0.03,0.6330935251798561,0.5899280575539568,0.23189955949783325
turn_off_lightbulb,GA_lambda_0.1,0.6115107913669064,0.5827338129496403,0.19575044512748718
turn_off_lightbulb,GA_lambda_0.3,0.539568345323741,0.4892086330935252,0.11930638551712036
turn_off_lightbulb,Wave22_cycle4,0.5683453237410072,0.5683453237410072,0.13755720853805542
turn_off_lightbulb,language_prototype,0.0,0.0,-0.13982486724853516
turn_off_lightbulb,goal_core_retrieval,0.5467625899280576,0.5467625899280576,0.2648695111274719
turn_on_lightbulb,Wave21_B1,0.4676258992805755,0.381294964028777,-0.03933398053050041
turn_on_lightbulb,GA_lambda_0.03,0.4460431654676259,0.3669064748201439,-0.037589799612760544
turn_on_lightbulb,GA_lambda_0.1,0.43884892086330934,0.38848920863309355,-0.05099375918507576
turn_on_lightbulb,GA_lambda_0.3,0.41007194244604317,0.33093525179856115,-0.06453559547662735
turn_on_lightbulb,Wave22_cycle4,0.28776978417266186,0.2805755395683453,-0.25026652216911316
turn_on_lightbulb,language_prototype,1.0,0.0,0.17846061289310455
turn_on_lightbulb,goal_core_retrieval,0.5683453237410072,0.4460431654676259,-0.07573546469211578
