goal,support_count,core_count,cycle_threshold_75,cycle_mean,semantic_similarity
lift_blue_block_slider,324,243,0.8488766700029373,0.735914945602417,0.29359713196754456
lift_red_block_table,253,190,0.8721234798431396,0.7103288173675537,0.2717362940311432
place_in_slider,158,118,0.7710892111063004,0.6578981280326843,0.32903411984443665
push_pink_block_right,198,148,0.7595333904027939,0.6406670212745667,0.2844064235687256
turn_off_lightbulb,291,218,0.7545812726020813,0.6281675100326538,0.2745443284511566
turn_on_lightbulb,250,187,0.9209627956151962,0.7824046611785889,0.2567998468875885
