oracle,H2_full,H4_decoded
O1_oracle_train_displacement,1.035570502281189,0.04631408676505089
O2_oracle_mode_K4,1.4273154735565186,0.06480049341917038
O3_oracle_retrieved_neighbor,1.051849126815796,0.04682343825697899
O4_Latent_CFM_16step_mean8_best_of_8,0.8352459073066711,0.04549107328057289
O4_Latent_CFM_8step_mean8_best_of_8,0.825842022895813,0.04882940649986267
O4_Latent_Diff_16step_mean8_best_of_8,2.1109299659729004,0.08618470281362534
O4_Latent_Diff_8step_mean8_best_of_8,2.1098272800445557,0.08647019416093826
O4_MDN_K2_argmax_best_of_8,0.9830194711685181,0.05588650330901146
O4_MDN_K3_argmax_best_of_8,1.0335694551467896,0.0580863356590271
O4_MDN_K4_argmax_best_of_8,1.115853190422058,0.05850875750184059
O4_cVAE_D_z2_mean8_best_of_8,0.7569654583930969,0.04977986961603165
O4_cVAE_D_z4_mean8_best_of_8,0.7706460356712341,0.05120638385415077
