phase_model,base,H2_gain,H4_gain
Phase_D5_factored_MLP,D5_global_factored_MLP,0.03172743320465088,0.006641194224357605
Phase_mdn,MDN_K3_argmax,0.05218958854675293,-0.0009705200791358948
Phase_moe,MoE_K3_hard,0.001735091209411621,0.0032676532864570618
Phase_cvae,cVAE_D_z4_mean8,-0.04067510366439819,0.0005257576704025269
Phase_flow,Latent_CFM_8step_mean8,0.028521835803985596,0.003070831298828125
Phase_diffusion,Latent_Diff_8step_mean8,0.006258487701416016,0.00018197298049926758
