sample,session,goal,horizon,mean_source_distance,mean_neighbor_displacement_cosine,D2_cosine
0,3,turn_off_lightbulb,1,3.5335495471954346,0.454132616519928,0.8584451079368591
1,3,lift_red_block_table,1,3.9745750427246094,0.34655824303627014,0.7673186659812927
2,3,lift_blue_block_slider,1,4.296760559082031,0.09725308418273926,0.3982478082180023
3,3,push_pink_block_right,1,5.724740505218506,0.38067901134490967,0.815711259841919
4,3,turn_on_lightbulb,1,7.5287299156188965,-0.07438482344150543,-0.3098756968975067
5,3,lift_red_block_table,1,4.851327896118164,0.09331981092691422,0.2738846242427826
6,3,turn_on_lightbulb,1,4.021000385284424,0.313181072473526,0.7842037677764893
7,3,lift_red_block_table,1,4.360657691955566,0.22886288166046143,0.5499248504638672
8,3,place_in_slider,1,3.8094284534454346,0.76563560962677,0.941004753112793
9,3,turn_on_lightbulb,1,4.511115550994873,0.09464053809642792,0.5129188895225525
10,3,lift_red_block_table,1,4.530976295471191,0.03954092413187027,0.2057325392961502
11,3,place_in_slider,1,3.5054752826690674,0.48199668526649475,0.8613728880882263
12,3,turn_on_lightbulb,1,4.430495738983154,0.3422814905643463,0.742631733417511
13,3,turn_off_lightbulb,1,4.0191826820373535,0.18625180423259735,0.3885253667831421
14,3,lift_blue_block_slider,1,5.2122368812561035,0.09366152435541153,0.2838522791862488
15,3,lift_red_block_table,1,5.022512435913086,-0.11059510707855225,-0.31608250737190247
16,3,turn_off_lightbulb,1,5.4574432373046875,0.3638918995857239,0.7824286222457886
17,3,turn_on_lightbulb,1,2.8783247470855713,0.5593953728675842,0.9100341200828552
18,3,lift_red_block_table,1,4.714816570281982,0.2596096992492676,0.6158034205436707
19,3,turn_off_lightbulb,1,4.498811721801758,0.3568691909313202,0.7030726075172424
20,3,place_in_slider,1,3.9565765857696533,0.4194942116737366,0.8025118708610535
21,3,turn_on_lightbulb,1,5.388446807861328,0.11050377041101456,0.5986865162849426
22,3,turn_off_lightbulb,1,4.067629814147949,0.3060706853866577,0.8197368383407593
23,3,turn_on_lightbulb,1,4.0602126121521,0.3041670322418213,0.7263683080673218
24,3,turn_off_lightbulb,1,4.668313503265381,0.4179866909980774,0.911964476108551
25,3,lift_blue_block_slider,1,5.711239814758301,0.19965898990631104,0.6338479518890381
26,3,turn_on_lightbulb,1,3.471411943435669,0.12285564839839935,0.25424501299858093
27,3,place_in_slider,1,3.7243523597717285,0.5235985517501831,0.8810727596282959
28,3,turn_off_lightbulb,1,4.614678859710693,0.297640860080719,0.6211227774620056
29,3,turn_on_lightbulb,1,4.3355302810668945,0.20425668358802795,0.6496770977973938
30,3,place_in_slider,1,4.488783836364746,0.4675844609737396,0.7573875784873962
31,3,turn_off_lightbulb,1,6.558995723724365,0.19100521504878998,0.5128078460693359
32,3,place_in_slider,1,3.8989386558532715,0.5381881594657898,0.8506013751029968
33,3,push_pink_block_right,1,5.298426628112793,0.30908501148223877,0.6444684863090515
