sample,session,goal,horizon,HorizonCoreGain,D2_full_cosine,D2_execution_cosine,D2_full_mse,goal_mean_full_mse,D2_execution_mse,goal_mean_execution_mse
0,3,turn_off_lightbulb,1,-0.7342052459716797,0.8584451079368591,0.8382824659347534,0.5380688309669495,1.066588044166565,0.4526955485343933,0.8060007095336914
1,3,lift_red_block_table,1,-0.701265811920166,0.7673186659812927,0.790235698223114,0.7293857336044312,1.302778720855713,0.8431118726730347,1.5279922485351562
2,3,lift_blue_block_slider,1,-2.5348503589630127,0.3982478082180023,0.537919819355011,0.2982538938522339,0.4565373659133911,0.2894933223724365,0.4636024832725525
3,3,push_pink_block_right,1,-0.4002041816711426,0.815711259841919,0.7057894468307495,1.2923221588134766,2.7801783084869385,1.3403921127319336,2.7277848720550537
4,3,turn_on_lightbulb,1,-0.057919979095458984,-0.3098756968975067,-0.09200981259346008,4.387640953063965,4.372054576873779,5.750250816345215,7.150591850280762
5,3,lift_red_block_table,1,0.1417999267578125,0.2738846242427826,0.3612683117389679,1.7146656513214111,2.018524646759033,1.1936872005462646,1.8204591274261475
6,3,turn_on_lightbulb,1,-0.7758240699768066,0.7842037677764893,0.8571497201919556,0.46941113471984863,1.1678025722503662,0.5152460336685181,1.4654393196105957
7,3,lift_red_block_table,1,-0.9752140045166016,0.5499248504638672,0.7047405242919922,1.2964533567428589,1.51010262966156,1.0550132989883423,1.614133596420288
8,3,place_in_slider,1,-0.2100815773010254,0.941004753112793,0.9605997800827026,0.34350770711898804,1.2497092485427856,0.3837437629699707,2.0716099739074707
9,3,turn_on_lightbulb,1,-1.2246193885803223,0.5129188895225525,0.2812577784061432,0.754086434841156,1.2466402053833008,0.8607902526855469,1.2441680431365967
10,3,lift_red_block_table,1,-0.9566130638122559,0.2057325392961502,0.48087215423583984,0.9218688607215881,1.084650993347168,0.6566702127456665,0.9836173057556152
11,3,place_in_slider,1,-0.617448091506958,0.8613728880882263,0.8506117463111877,0.17732584476470947,0.9132896661758423,0.2337666004896164,1.5599054098129272
12,3,turn_on_lightbulb,1,-0.469881534576416,0.742631733417511,0.8359705805778503,0.8794103264808655,1.745407223701477,1.0811779499053955,2.550790786743164
13,3,turn_off_lightbulb,1,-0.41266465187072754,0.3885253667831421,0.24185067415237427,0.7021883726119995,0.9124489426612854,0.8747127056121826,1.2656221389770508
14,3,lift_blue_block_slider,1,-0.824397087097168,0.2838522791862488,0.7060913443565369,2.152834892272949,2.256805181503296,1.7725120782852173,2.677978754043579
15,3,lift_red_block_table,1,-2.752678394317627,-0.31608250737190247,0.42550408840179443,5.498532772064209,4.153843402862549,1.1976685523986816,1.26800537109375
16,3,turn_off_lightbulb,1,-0.48255491256713867,0.7824286222457886,0.7915953993797302,2.297743797302246,3.160475730895996,2.1902265548706055,3.497606039047241
17,3,turn_on_lightbulb,1,-0.01047658920288086,0.9100341200828552,0.86702960729599,1.1986188888549805,3.0882081985473633,0.47007185220718384,1.0264785289764404
18,3,lift_red_block_table,1,-0.462526798248291,0.6158034205436707,0.4585438370704651,1.856846809387207,2.3495678901672363,2.991135358810425,3.086168050765991
19,3,turn_off_lightbulb,1,0.4265012741088867,0.7030726075172424,0.6326424479484558,1.6857131719589233,2.3834333419799805,1.8664977550506592,2.617264747619629
20,3,place_in_slider,1,-0.23106622695922852,0.8025118708610535,0.5619202256202698,0.5739792585372925,1.3028099536895752,0.32094258069992065,0.9087225198745728
21,3,turn_on_lightbulb,1,-1.5175023078918457,0.5986865162849426,0.2611352801322937,1.1747493743896484,2.1855616569519043,0.9928316473960876,1.5229957103729248
22,3,turn_off_lightbulb,1,0.1533946990966797,0.8197368383407593,0.8210986256599426,1.0818818807601929,2.7911884784698486,0.6451035141944885,1.2667226791381836
23,3,turn_on_lightbulb,1,-1.1075139045715332,0.7263683080673218,0.7497475743293762,1.5581364631652832,2.9466869831085205,0.72444748878479,1.2914092540740967
24,3,turn_off_lightbulb,1,-0.3957488536834717,0.911964476108551,0.9411221146583557,0.6743791699409485,1.5496524572372437,0.9544960260391235,2.422502040863037
25,3,lift_blue_block_slider,1,0.07731437683105469,0.6338479518890381,0.7467310428619385,0.9737279415130615,1.3462198972702026,0.8988450765609741,1.507788062095642
