sample,session,boundary_frame,horizon,model,displacement_cosine,execution_cosine,norm_ratio,future_latent_MSE,decoded_action_MSE,family_margin,execution_family_margin
35,10,439703,1,D2,0.9227775931358337,0.9415037035942078,0.8277634978294373,0.4118029773235321,0.02439039945602417,3.1872010231018066,2.2701377868652344
35,10,439703,1,goal_horizon_mean,0.8304875493049622,0.8182974457740784,0.40132901072502136,1.2927706241607666,0.052277788519859314,0.7037677764892578,-0.875607967376709
35,10,439703,1,ground_truth,0.9999998807907104,1.0000001192092896,1.0,0.0,0.00207144464366138,3.454420566558838,2.522653579711914
35,10,439703,2,D2,0.8786877393722534,0.9378785490989685,0.7478057146072388,0.7382074594497681,0.01567108929157257,3.579868793487549,3.1583285331726074
35,10,439703,2,goal_horizon_mean,0.8563930988311768,0.8190164566040039,0.44146326184272766,1.3218121528625488,0.025029845535755157,1.1995501518249512,-0.08453083038330078
35,10,439703,2,ground_truth,1.0,1.0,1.0,0.0,0.002134521957486868,4.872555732727051,3.9168243408203125
35,10,439703,4,D2,0.8447871208190918,0.768263041973114,0.540869414806366,1.3130062818527222,0.07499485462903976,2.5885109901428223,0.8320245742797852
35,10,439703,4,goal_horizon_mean,0.6999843120574951,0.34040677547454834,0.4435326159000397,1.996339201927185,0.10749099403619766,2.1015520095825195,0.7916412353515625
35,10,439703,4,ground_truth,1.0000001192092896,0.9999998807907104,1.0,0.0,0.010515925474464893,3.928682327270508,1.0219359397888184
38,10,440294,1,D2,0.876584529876709,0.927288830280304,0.8102231025695801,0.43038100004196167,0.04489133879542351,3.2239484786987305,2.2061405181884766
38,10,440294,1,goal_horizon_mean,0.6716752052307129,0.8144879937171936,0.48053503036499023,1.0675245523452759,0.06944865733385086,1.59517240524292,0.001949310302734375
38,10,440294,1,ground_truth,1.0000001192092896,1.0,1.0,0.0,0.001252843881957233,2.993924140930176,2.430328845977783
38,10,440294,2,D2,0.8041032552719116,0.8137741088867188,0.8024942278862,0.7959157228469849,0.06686621159315109,4.029268741607666,3.012892246246338
38,10,440294,2,goal_horizon_mean,0.6544220447540283,0.6617878675460815,0.5105985403060913,1.334144115447998,0.09561944007873535,2.0517749786376953,0.9594688415527344
38,10,440294,2,ground_truth,1.0000001192092896,1.0000001192092896,1.0,0.0,0.004899992141872644,3.5702991485595703,2.5349230766296387
38,10,440294,4,D2,0.9134722352027893,0.9425990581512451,0.8003612756729126,0.40327388048171997,0.020176144316792488,3.577301025390625,2.101734161376953
38,10,440294,4,goal_horizon_mean,0.6266628503799438,0.5648998022079468,0.5492404699325562,1.3866312503814697,0.033476296812295914,1.7104511260986328,0.4436030387878418
38,10,440294,4,ground_truth,1.0,1.0000001192092896,1.0,0.0,0.0014686795184388757,3.562777519226074,2.422250747680664
102,21,293869,1,D2,0.801611065864563,0.9353002905845642,0.646877646446228,1.101731538772583,0.08305042237043381,3.4045581817626953,2.3388357162475586
102,21,293869,1,goal_horizon_mean,0.5911284685134888,0.8806478381156921,0.381788969039917,2.0060501098632812,0.10242392867803574,1.7851791381835938,0.1627674102783203
102,21,293869,1,ground_truth,1.0000001192092896,1.0,1.0,0.0,0.003972301725298166,2.8118534088134766,2.6299681663513184
102,21,293869,2,D2,0.8133877515792847,0.9086645245552063,0.8619918823242188,0.6651515364646912,0.034016434103250504,3.893341541290283,2.8922553062438965
102,21,293869,2,goal_horizon_mean,0.7124651670455933,0.8319514989852905,0.5484445691108704,1.01364004611969,0.04383092001080513,1.8020529747009277,0.6844820976257324
102,21,293869,2,ground_truth,1.0,0.9999999403953552,1.0,0.0,0.0009529789094813168,3.3389949798583984,3.369783401489258
102,21,293869,4,D2,0.8159617781639099,0.7568418979644775,0.7098758816719055,0.9858448505401611,0.05871230736374855,3.669651985168457,2.1549835205078125
102,21,293869,4,goal_horizon_mean,0.7385973334312439,0.5419915914535522,0.4888840913772583,1.4748852252960205,0.06719916313886642,1.696730136871338,0.6265902519226074
102,21,293869,4,ground_truth,1.0000001192092896,1.0,1.0,0.0,0.002980528399348259,3.4910058975219727,1.518235206604004
108,25,316363,1,D2,0.5166407227516174,0.5502785444259644,0.748303234577179,0.5513591766357422,0.042021941393613815,4.054123878479004,2.435105800628662
108,25,316363,1,goal_horizon_mean,0.3198603391647339,0.1689608097076416,0.7751638293266296,0.7743842601776123,0.04467567801475525,3.6080751419067383,1.7758727073669434
108,25,316363,1,ground_truth,1.0,1.0,1.0,0.0,0.002611852250993252,2.8594412803649902,2.1052284240722656
108,25,316363,2,D2,0.3737080693244934,0.5426313281059265,0.8110941052436829,1.018438458442688,0.06310924142599106,1.2963995933532715,1.0690264701843262
108,25,316363,2,goal_horizon_mean,0.28442972898483276,0.351239413022995,0.7786370515823364,1.1266032457351685,0.06295328587293625,1.9299263954162598,1.428534984588623
108,25,316363,2,ground_truth,0.9999999403953552,1.0,1.0,0.0,0.002177128102630377,1.0510225296020508,0.7278285026550293
108,25,316363,4,D2,0.6722916960716248,0.7232972979545593,0.6987925171852112,1.4008489847183228,0.03920525684952736,1.8922481536865234,1.8381061553955078
108,25,316363,4,goal_horizon_mean,0.8339307904243469,0.8486415147781372,0.5168839693069458,1.034128189086914,0.050847481936216354,0.0286865234375,-0.3715806007385254
108,25,316363,4,ground_truth,0.9999998807907104,1.0,1.0,0.0,0.0020053761545568705,1.2328271865844727,1.170727252960205
116,25,322213,1,D2,0.3753323256969452,0.3023282587528229,0.8444385528564453,0.5617859363555908,0.055860597640275955,3.595637321472168,2.426335573196411
116,25,322213,1,goal_horizon_mean,-0.09567037969827652,-0.0909951776266098,0.899404764175415,1.0312495231628418,0.07180794328451157,2.8580946922302246,1.6387977600097656
116,25,322213,1,ground_truth,1.0,1.0,1.0,0.0,0.0013847496593371034,2.104557991027832,1.3616609573364258
116,25,322213,2,D2,0.1478453129529953,0.4592169523239136,0.8990985155105591,1.2655748128890991,0.04217633977532387,1.517625331878662,1.2074499130249023
116,25,322213,2,goal_horizon_mean,-0.14849017560482025,0.06344714015722275,0.8459389805793762,1.6137088537216187,0.06601152569055557,1.7500905990600586,1.539266586303711
116,25,322213,2,ground_truth,0.9999999403953552,1.0,1.0,0.0,0.0004871523706242442,-0.5872411727905273,0.31400489807128906
116,25,322213,4,D2,0.8333859443664551,0.825511634349823,0.7379698753356934,0.7425518035888672,0.08627575635910034,1.843172550201416,1.987572193145752
116,25,322213,4,goal_horizon_mean,0.7631784677505493,0.7533573508262634,0.5375360250473022,1.105837345123291,0.11287947744131088,-0.35103368759155273,-0.4727487564086914
116,25,322213,4,ground_truth,1.0,1.0,1.0,0.0,0.0027662210632115602,1.7813234329223633,1.6389284133911133
128,29,70241,1,D2,0.7263219952583313,0.7726850509643555,0.8037254214286804,0.4902234673500061,0.06160717085003853,3.4282283782958984,1.9275689125061035
128,29,70241,1,goal_horizon_mean,0.536220908164978,0.4617377519607544,0.6410804390907288,0.7412689924240112,0.05977490544319153,2.310835838317871,1.174858570098877
128,29,70241,1,ground_truth,1.0,1.0,1.0,0.0,0.001203032792545855,2.354703426361084,1.1153645515441895
128,29,70241,2,D2,0.6690459251403809,0.7352842092514038,1.0382044315338135,0.7977189421653748,0.05574032664299011,2.992611885070801,2.16567325592041
128,29,70241,2,goal_horizon_mean,0.6919335126876831,0.6672998666763306,0.7119396924972534,0.6042391061782837,0.05526607111096382,2.2857236862182617,1.768235683441162
128,29,70241,2,ground_truth,0.9999998807907104,1.0,1.0,0.0,0.000730715983081609,1.86763334274292,1.5133285522460938
128,29,70241,4,D2,0.9522575736045837,0.9443191289901733,0.7810316681861877,0.2737732231616974,0.013578142039477825,2.8497915267944336,1.8111977577209473
128,29,70241,4,goal_horizon_mean,0.9231457114219666,0.9079080820083618,0.5524915456771851,0.6372342109680176,0.016994304955005646,0.988062858581543,0.006035804748535156
128,29,70241,4,ground_truth,1.0,1.0,1.0,0.0,0.002621052786707878,3.612370491027832,1.9110350608825684
