model,H2_full_mse,H4_decoded_mse,continuity,neg_redirect
BACKBONE_F1_q2,1.1736825704574585,1.2472440004348755,2.4133617877960205,-0.008529783226549625
BACKBONE_F2_q2,1.1739423274993896,1.2522704601287842,2.4133999347686768,-0.009085322730243206
S2_q4_C1_pca_FF4_state_conditioned,1.1591453552246094,1.3304919004440308,2.6022636890411377,-0.11148396879434586
S2_q8_C1_pca_FF4_state_conditioned,1.1638740301132202,1.3222087621688843,2.5911006927490234,-0.11093413084745407
