model,q_dim,encoding,field,subspace,composition,group,backbone,H2_full_mse,H4_decoded_mse,H4_endpoint_accuracy,H4_recode_accuracy,H4_continuity,RedirectGain,Execution_RedirectGain,adapter_norm,effective_q_rank,pareto,selected
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.1736825704574585,1.2472440004348755,0.1415929203539823,0.1902654867256637,2.4133617877960205,0.008529783226549625,0.005485741421580315,0.08058369904756546,1.4670078754425049,True,True
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,D,F2,1.1739423274993896,1.2522704601287842,0.14601769911504425,0.19469026548672566,2.4133999347686768,0.009085322730243206,0.0016005669021978974,0.07947910577058792,1.8128528594970703,True,True
,32,E0_linear,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.2419034242630005,1.3343162536621094,0.12831858407079647,0.084070796460177,2.620258092880249,0.07287928462028503,0.03653694689273834,0.6617481112480164,3.941232919692993,False,True
,2,E0_linear,FF1_direct,C2_learned,COMP0_additive,D,F1,1.2542651891708374,1.351566195487976,0.12831858407079647,0.1902654867256637,2.6418349742889404,0.019598981365561485,0.008095690980553627,0.1384412944316864,1.4330278635025024,False,False
,2,E1_normalized_linear,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.239364504814148,1.3686342239379883,0.11504424778761062,0.16371681415929204,2.6370184421539307,0.011260634288191795,-0.01444489136338234,0.35640615224838257,1.4847757816314697,False,False
,2,E2_mlp,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.2545862197875977,1.3510247468948364,0.13716814159292035,0.1902654867256637,2.642385721206665,0.008670521900057793,0.005284888669848442,0.10610552132129669,1.3191874027252197,False,False
,2,E3_pairwise,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.2117434740066528,1.3734773397445679,0.12831858407079647,0.04424778761061947,2.6109468936920166,0.04566029831767082,0.015508107841014862,1.1948418617248535,1.0668176412582397,False,False
,2,E4_antisymmetric,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.205031394958496,1.3435678482055664,0.13716814159292035,0.035398230088495575,2.616737127304077,0.019203411415219307,-0.032619453966617584,1.084815263748169,1.076865553855896,False,True
,2,E6_dictionary,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.2570884227752686,1.3511879444122314,0.13274336283185842,0.1902654867256637,2.6435651779174805,0.0027130863163620234,0.004337753169238567,0.03054828755557537,1.7721035480499268,False,False
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,A,F1,1.2579059600830078,1.3523410558700562,0.13274336283185842,0.18584070796460178,2.6438541412353516,0.0064415279775857925,0.007131798192858696,0.05777091160416603,1.3547452688217163,False,False
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,B,F1,1.2573658227920532,1.351479172706604,0.13274336283185842,0.19911504424778761,2.644519805908203,0.006394128780812025,0.005619781091809273,0.048743560910224915,1.8030673265457153,False,False
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,C,F1,1.2574156522750854,1.3521759510040283,0.12831858407079647,0.1902654867256637,2.6442999839782715,0.00799502246081829,0.004862476140260696,0.05435938015580177,1.608884572982788,False,False
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.2572777271270752,1.351790428161621,0.12831858407079647,0.18584070796460178,2.6437621116638184,0.01091286912560463,0.010512763634324074,0.07895857095718384,1.4846136569976807,False,False
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,E,F1,1.2586660385131836,1.3535102605819702,0.12389380530973451,0.17699115044247787,2.642289638519287,0.006319418549537659,0.00780144426971674,0.07541777193546295,1.1728116273880005,False,False
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,F,F1,1.2572029829025269,1.3527050018310547,0.1415929203539823,0.1902654867256637,2.6417629718780518,0.006631314288824797,0.006299564614892006,0.07714252918958664,1.7640107870101929,False,False
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,G,F1,1.255094051361084,1.3503222465515137,0.13274336283185842,0.1902654867256637,2.6448118686676025,0.006922063417732716,0.007003661245107651,0.10019728541374207,1.9429311752319336,False,True
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,H,F1,1.2567505836486816,1.3526813983917236,0.13274336283185842,0.1902654867256637,2.6436409950256348,0.0059475889429450035,0.0030691528227180243,0.05514044687151909,1.3086776733398438,False,False
,1,E0_linear,FF1_direct,C0_random,COMP0_additive,D,F1,1.2566787004470825,1.3543809652328491,0.13716814159292035,0.1902654867256637,2.643083333969116,-0.0011534405639395118,-0.0007394910790026188,0.04816586524248123,1.0,False,False
,1,E0_linear,FF3_attractor,C0_random,COMP0_additive,D,F1,1.2575161457061768,1.352827548980713,0.13274336283185842,0.1902654867256637,2.643845796585083,0.00029049458680674434,0.0004712211957667023,0.021491030231118202,1.0,False,False
,1,E0_linear,FF4_state_conditioned,C0_random,COMP0_additive,D,F1,1.257153034210205,1.3558827638626099,0.13274336283185842,0.1902654867256637,2.6468522548675537,0.0001187580346595496,-0.001250434317626059,0.09388304501771927,1.0,False,False
,1,E0_linear,FF1_direct,C1_pca,COMP0_additive,D,F1,1.250423789024353,1.352994441986084,0.12831858407079647,0.19469026548672566,2.642387628555298,0.012022293172776699,-0.0010757906129583716,0.07459308207035065,1.0,False,False
,1,E0_linear,FF3_attractor,C1_pca,COMP0_additive,D,F1,1.2550140619277954,1.3529138565063477,0.13716814159292035,0.1902654867256637,2.643630266189575,0.011475278064608574,0.0008134266827255487,0.06101536750793457,1.0,False,False
,1,E0_linear,FF4_state_conditioned,C1_pca,COMP0_additive,D,F1,1.2105579376220703,1.3801817893981934,0.09292035398230089,0.12831858407079647,2.6299498081207275,0.07670245319604874,-0.047396220266819,1.2255122661590576,1.0,False,False
,1,E0_linear,FF1_direct,C2_learned,COMP0_additive,D,F1,1.2577755451202393,1.352538824081421,0.13274336283185842,0.1902654867256637,2.645733118057251,-0.0014143777079880238,-0.0035307009238749743,0.04905415326356888,1.0,False,False
,1,E0_linear,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.2544130086898804,1.3513574600219727,0.12831858407079647,0.1902654867256637,2.642974853515625,0.001931381062604487,0.0006657919147983193,0.07501062005758286,1.0,False,False
,1,E0_linear,FF4_state_conditioned,C2_learned,COMP0_additive,D,F1,1.2565243244171143,1.3550772666931152,0.13716814159292035,0.1902654867256637,2.6487350463867188,-0.0023990701884031296,-0.004233100917190313,0.11384276300668716,1.0,False,False
,2,E0_linear,FF1_direct,C0_random,COMP0_additive,D,F1,1.2578015327453613,1.354049801826477,0.13274336283185842,0.1902654867256637,2.6433966159820557,0.006022592540830374,0.0006619986961595714,0.0853477194905281,1.6006675958633423,False,False
,2,E0_linear,FF3_attractor,C0_random,COMP0_additive,D,F1,1.257214069366455,1.352583646774292,0.13274336283185842,0.19469026548672566,2.6437807083129883,0.0012735686032101512,0.0007291245856322348,0.026062501594424248,1.8378260135650635,False,False
,2,E0_linear,FF4_state_conditioned,C0_random,COMP0_additive,D,F1,1.2565174102783203,1.3505877256393433,0.13716814159292035,0.17699115044247787,2.649397850036621,0.003323621116578579,0.001588701270520687,0.22415053844451904,1.6432206630706787,False,False
,2,E0_linear,FF1_direct,C1_pca,COMP0_additive,D,F1,1.251511573791504,1.3505033254623413,0.13716814159292035,0.1902654867256637,2.6438300609588623,0.023145951330661774,0.0016630621394142509,0.12228137254714966,1.2778234481811523,False,False
,2,E0_linear,FF3_attractor,C1_pca,COMP0_additive,D,F1,1.2541544437408447,1.3517162799835205,0.13716814159292035,0.1902654867256637,2.643965005874634,0.014514419250190258,0.000724464247468859,0.06166188046336174,1.207796573638916,False,False
,2,E0_linear,FF4_state_conditioned,C1_pca,COMP0_additive,D,F1,1.2024781703948975,1.3763765096664429,0.10619469026548672,0.13274336283185842,2.6229021549224854,0.06546717882156372,-0.05701545998454094,1.3520628213882446,1.3971991539001465,False,False
,2,E0_linear,FF1_direct,C2_learned,COMP0_additive,D,F1,1.254514455795288,1.3521312475204468,0.1415929203539823,0.1902654867256637,2.64493727684021,0.010480416938662529,0.007497033569961786,0.13177499175071716,1.960169792175293,False,False
,2,E0_linear,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.2556118965148926,1.3538596630096436,0.12831858407079647,0.1902654867256637,2.6434853076934814,0.01006515882909298,0.00860875379294157,0.11113295704126358,1.8283582925796509,False,False
,2,E0_linear,FF4_state_conditioned,C2_learned,COMP0_additive,D,F1,1.2254395484924316,1.358444333076477,0.13274336283185842,0.10176991150442478,2.6675987243652344,0.006569079589098692,-0.01157794613391161,0.7797823548316956,1.2746546268463135,False,False
,4,E0_linear,FF1_direct,C0_random,COMP0_additive,D,F1,1.2558257579803467,1.3551878929138184,0.1415929203539823,0.1902654867256637,2.6404967308044434,0.010102230124175549,0.003438929095864296,0.13691745698451996,2.749521255493164,False,False
,4,E0_linear,FF3_attractor,C0_random,COMP0_additive,D,F1,1.2577297687530518,1.3518866300582886,0.12831858407079647,0.18584070796460178,2.6435508728027344,0.010422148741781712,0.006419113837182522,0.08897290378808975,2.3046646118164062,False,False
,4,E0_linear,FF4_state_conditioned,C0_random,COMP0_additive,D,F1,1.253328800201416,1.34980046749115,0.13716814159292035,0.1902654867256637,2.647613286972046,-0.0017484544077888131,0.001348147401586175,0.3042043149471283,2.6456379890441895,False,False
,4,E0_linear,FF1_direct,C1_pca,COMP0_additive,D,F1,1.2499990463256836,1.3487871885299683,0.13274336283185842,0.18584070796460178,2.6417150497436523,0.025983750820159912,0.009010371752083302,0.18512779474258423,2.604795455932617,False,False
,4,E0_linear,FF3_attractor,C1_pca,COMP0_additive,D,F1,1.253258466720581,1.3507455587387085,0.1415929203539823,0.1902654867256637,2.641483783721924,0.012685699388384819,0.008792437613010406,0.11636590957641602,2.1131834983825684,False,False
,4,E0_linear,FF4_state_conditioned,C1_pca,COMP0_additive,D,F1,1.1591453552246094,1.3304919004440308,0.13716814159292035,0.10619469026548672,2.6022636890411377,0.11148396879434586,-0.006471498403698206,1.8487069606781006,2.257054328918457,True,False
,4,E0_linear,FF1_direct,C2_learned,COMP0_additive,D,F1,1.2537811994552612,1.345902442932129,0.12831858407079647,0.168141592920354,2.636155605316162,0.028139445930719376,0.02379770576953888,0.21289411187171936,2.7247838973999023,False,False
,4,E0_linear,FF3_attractor,C2_learned,COMP0_additive,D,F1,1.2523831129074097,1.3494951725006104,0.12389380530973451,0.1902654867256637,2.641483783721924,0.015320133417844772,0.010709743946790695,0.14558403193950653,2.6041324138641357,False,False
,4,E0_linear,FF4_state_conditioned,C2_learned,COMP0_additive,D,F1,1.2522706985473633,1.3517993688583374,0.14601769911504425,0.17256637168141592,2.63135027885437,0.0014157167170196772,-0.004797032568603754,0.35172614455223083,2.1755871772766113,False,False
,8,E0_linear,FF1_direct,C0_random,COMP0_additive,D,F1,1.2607262134552002,1.3520257472991943,0.12831858407079647,0.1902654867256637,2.6418092250823975,0.016078373417258263,0.016254259273409843,0.25830158591270447,2.622225761413574,False,False
