sample,session,goal,horizon,target_distance,margin,region_rank,semantic_rank,semantic_top1,semantic_cosine_margin
43,8,lift_red_block_table,1,3.407308578491211,-0.22901010513305664,2,1,1,0.0047002434730529785
43,8,lift_red_block_table,2,3.3312103748321533,-0.01023411750793457,2,2,0,-0.030317217111587524
43,8,lift_red_block_table,4,3.833805561065674,-0.30499744415283203,2,1,1,0.006165757775306702
44,8,turn_on_lightbulb,0,3.6565794944763184,-1.5672175884246826,4,3,0,-0.34823232889175415
44,8,turn_on_lightbulb,1,4.302657127380371,-0.31754016876220703,2,1,1,0.008247464895248413
44,8,turn_on_lightbulb,2,2.7144320011138916,0.3586153984069824,1,1,1,0.038649171590805054
44,8,turn_on_lightbulb,4,2.073014736175537,1.1082236766815186,1,2,0,-0.017267853021621704
45,8,lift_red_block_table,0,6.5840911865234375,-0.3666343688964844,5,3,0,-0.0748029351234436
45,8,lift_red_block_table,1,4.904445648193359,0.22574901580810547,1,2,0,-0.025217115879058838
45,8,lift_red_block_table,2,4.111065864562988,0.31661272048950195,1,5,0,-0.194584459066391
45,8,lift_red_block_table,4,4.3004374504089355,-0.16793298721313477,6,6,0,-0.20449034869670868
46,8,place_in_slider,0,3.675673007965088,0.34807729721069336,1,1,1,0.3238758444786072
46,8,place_in_slider,1,4.232024192810059,0.4290275573730469,1,1,1,0.08115968108177185
46,8,place_in_slider,2,4.986648082733154,-1.448404312133789,6,6,0,-0.21473298966884613
46,8,place_in_slider,4,4.464328289031982,-0.5206060409545898,6,3,0,-0.16563236713409424
47,8,lift_blue_block_slider,0,5.402775764465332,-0.03397703170776367,2,2,0,-0.01024743914604187
47,8,lift_blue_block_slider,1,4.100533485412598,0.42054319381713867,1,1,1,0.1817294955253601
47,8,lift_blue_block_slider,2,4.402915000915527,0.07642221450805664,1,1,1,0.2459050714969635
47,8,lift_blue_block_slider,4,4.209494113922119,0.4137997627258301,1,1,1,0.013365834951400757
48,8,place_in_slider,0,8.322023391723633,-4.2683610916137695,6,6,0,-0.7319391369819641
48,8,place_in_slider,1,4.053628921508789,-0.29488253593444824,2,5,0,-0.20682720839977264
48,8,place_in_slider,2,3.7232813835144043,-0.012403011322021484,2,1,1,0.17607606947422028
48,8,place_in_slider,4,5.690675735473633,-1.3824758529663086,6,6,0,-0.41887009143829346
49,8,push_pink_block_right,0,3.4138076305389404,-0.41527509689331055,2,1,1,0.07342088222503662
49,8,push_pink_block_right,1,4.571310043334961,-0.3011775016784668,4,3,0,-0.08445149660110474
49,8,push_pink_block_right,2,3.5983893871307373,-0.34302830696105957,4,1,1,0.12493249773979187
49,8,push_pink_block_right,4,3.3578524589538574,0.295823335647583,1,1,1,0.021560221910476685
50,8,lift_blue_block_slider,0,7.0454583168029785,-0.6025590896606445,5,1,1,0.01216629147529602
50,8,lift_blue_block_slider,1,6.011050224304199,-0.48500537872314453,4,2,0,-0.022346287965774536
50,8,lift_blue_block_slider,2,4.686949253082275,-0.45533180236816406,4,1,1,0.09767429530620575
50,8,lift_blue_block_slider,4,3.6052322387695312,0.18009424209594727,1,1,1,0.2305244505405426
51,8,turn_off_lightbulb,0,5.419229507446289,-0.11006689071655273,2,2,0,-0.03207780420780182
51,8,turn_off_lightbulb,1,3.877685070037842,0.2896270751953125,1,2,0,-0.10665759444236755
51,8,turn_off_lightbulb,2,3.6411354541778564,0.5437009334564209,1,2,0,-0.022618144750595093
