model,family,PRED,DECODE,IDENTITY,CYCLE-ID,CONT,LANG
State_S2_F2-C,state_sweep,neutral,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse
State_S2_Phase-CFM,state_sweep,strongly improved,strongly worse,strongly worse,strongly worse,worse,strongly worse
State_S2_RAT-C,state_sweep,improved,neutral,strongly worse,strongly worse,neutral,strongly worse
State_S3_F2-C,state_sweep,improved,strongly worse,strongly worse,strongly worse,neutral,strongly worse
State_S3_Phase-CFM,state_sweep,improved,strongly worse,strongly worse,strongly worse,worse,strongly worse
State_S3_RAT-C,state_sweep,improved,neutral,strongly worse,strongly worse,strongly worse,strongly worse
State_S4_F2-C,state_sweep,worse,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse
State_S4_Phase-CFM,state_sweep,strongly improved,strongly worse,strongly worse,strongly worse,worse,strongly worse
State_S4_RAT-C,state_sweep,improved,worse,neutral,worse,worse,strongly worse
State_S5_F2-C,state_sweep,neutral,strongly worse,strongly worse,strongly worse,worse,strongly worse
State_S5_Phase-CFM,state_sweep,strongly improved,strongly worse,strongly worse,strongly worse,improved,strongly worse
State_S5_RAT-C,state_sweep,strongly improved,worse,strongly worse,strongly worse,strongly worse,strongly worse
State_S6_F2-C,state_sweep,worse,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse
State_S6_Phase-CFM,state_sweep,strongly improved,worse,strongly worse,strongly worse,worse,strongly worse
State_S6_RAT-C,state_sweep,neutral,neutral,strongly worse,strongly worse,improved,strongly worse
Wave25_Phase_flow_reproduction,historical_flow,strongly improved,strongly improved,worse,worse,neutral,strongly worse
language_prototype,historical,strongly improved,improved,strongly improved,strongly improved,worse,strongly worse
