model,family,H2_full,H4_decoded,endpoint,recode,continuity,RedirectGain,Execution_RedirectGain,selected
Flow_S0_History-CFM,flow_family,0.8883987665176392,0.055926695466041565,0.2744431825905795,0.259853062320946,0.2142951488494873,0.11547929793596268,0.058666955679655075,True
Flow_S0_Phase-CFM,flow_family,0.8883987665176392,0.055926695466041565,0.2744431825905795,0.259853062320946,0.2142951488494873,0.11547929793596268,0.058666955679655075,False
Flow_S0_Prior-CFM,flow_family,0.881065845489502,0.05234074965119362,0.27139364279323713,0.23014373751358205,0.20495983958244324,0.13638097047805786,0.05652330070734024,True
Flow_S0_R-CFM,flow_family,0.9942938685417175,0.04960661381483078,0.5013850634878357,0.4553381134178971,0.19069762527942657,0.7714546918869019,0.5644194483757019,False
Flow_S1_History-CFM,flow_family,0.9691706299781799,0.05609501525759697,0.24494323446318036,0.24571377837097916,0.2069268822669983,0.11982467770576477,0.056883133947849274,False
Flow_S1_Phase-CFM,flow_family,0.9691706299781799,0.05609501525759697,0.24494323446318036,0.24571377837097916,0.2069268822669983,0.11982467770576477,0.056883133947849274,False
Flow_S1_Prior-CFM,flow_family,0.9573673605918884,0.05384635925292969,0.22211797292933197,0.19627304306141358,0.20477455854415894,0.10569197684526443,0.059919290244579315,False
Flow_S1_R-CFM,flow_family,1.0421301126480103,0.05070335045456886,0.4964043831859924,0.4771888855391222,0.20359228551387787,0.6996118426322937,0.52801513671875,False
Flow_S4_R-CFM,flow_family,1.1081569194793701,0.05495558679103851,0.4967948261389776,0.48314195758414824,0.19874893128871918,0.860889732837677,0.6793777942657471,False
State_S0_RAT-C,state_sweep,0.9274237155914307,0.047060396522283554,0.4110814835628899,0.388402066968666,0.2114189714193344,0.3897894024848938,0.23643392324447632,True
