horizon,cycle_residual,execution_cycle_residual,decoded_action_mse,target_distance,endpoint_accuracy
1,2.1423466808912233,1.1075437528694547,0.037015288613918354,4.2059341799922105,0.4146341463414634
2,2.5465785817402167,1.4526228577625462,0.037701639429120935,3.526704349168917,0.7012195121951219
4,2.8004118066008497,1.4009907082086657,0.03851263970988462,3.733377901519217,0.5182926829268293
